"Time","WW","WR","RR"
0,251,0,0
0,255.959248858539,0,0
0,4,255.622572831225,0
0,4,259.019564406642,0
0,0,266.176856824517,0
0,0,7,262.118420000604
0,0,7,264.865826859083
0,0,0,274.438493031714
0,0,0,10
266.853892587082,0,0,10
1,268.127752186913,0,0
11,270.274225826761,0,0
0,283.306052102624,0,0
0,14,271.234695750901,0
0,14,273.031296668613,0
0,0,288.674166622055,0
0,0,17,273.147672542702
0,0,17,274.441260170161
0,0,0,292.548604675824
0,0,0,20
273.466875025541,0,0,20
1,274.211006498353,0,0
21,245.005035357835,30.9894264141191,0
0,255.620796532211,43.1814050966999,0
0,24,276.622108593758,0
0,24,216.504183737675,61.9403713428327
0,0,235.402447433724,68.8595750235877
0,0,27,279.068929704918
0,0,27,202.289821477191
78.5717331552573,0,0,227.984737360353
0,81.6506073495133,0,30
197.668604491395,83.7193597142942,0,30
1,282.119094647713,0,0
31,198.531184300742,85.2990824317988,0
0,231.49296642452,85.0233718785187,0
0,34,284.167606144626,0
0,34,202.966473659082,82.8048005570039
0,0,228.554813402859,92.7576894366161
0,0,37,285.775185678669
0,0,37,179.564676959526
107.57785554674,0,0,211.851892008523
0.0751079211552177,111.816642038479,0,40
167.59745362352,114.410747753583,0,40
1,278.299918999546,0,0
41,160.444418406741,114.479928953648,0
0,197.191596411634,114.944443057344,0
0,44,264.145004444031,0
0,44,151.852251602058,108.27026648416
0,0,190.033457145368,110.172884773497
0,0,47,249.505033337958
0,0,47,147.9356267355
98.1665844232656,0,0,186.110029291655
9.51659167584468,94.4337295132796,0,50
135.532036870901,101.89213180664,0,50
1,234.227720306159,0,0
51,134.836869326676,97.6609698518613,0
0,169.451603451313,112.804202630257,0
0,54,226.301246588489,0
0,54,122.723441989367,101.181377635135
0,0,159.668783652946,115.625741854359
0,0,57,215.578902798121
0,0,57,115.730164615013
97.1155041787706,0,0,153.786510805765
18.5923587516417,94.7850046270263,0,60
92.5287546100782,112.058252509598,0,60
1,201.156101807893,0,0
61,112.735682725724,86.1667836352214,0
0,150.506594554597,107.343309443193,0
0,64,192.016427080592,0
0,64,114.036589424993,76.3791679163737
0,0,146.794578456096,106.266934658019
0,0,67,184.968868210285
0,0,67,101.140750064996
83.0141371754383,0,0,139.590256433586
26.5763502237626,83.6370831287419,0,70
67.9628675719982,110.137494209601,0,70
1,175.208826392599,0,0
71,91.7533346729647,81.459992117136,0
0,134.807712643903,107.380596839793,0
0,74,166.19921311578,0
0,74,88.6389958533293,75.6600612280547
0,0,133.78739205709,102.742752782948
0,0,77,157.925569749489
0,0,77,88.2728309614359
68.2376969635018,0,0,134.542360285804
32.1418224569768,65.6192684824649,0,80
55.1481886046239,96.169001174978,0,80
1,149.561993039116,0,0
81,81.8604527820708,67.1865594341013,0
0,130.674139545655,99.1068765924732,0
0,84,145.076758483983,0
0,84,74.9015467936761,69.1810053494545
0,0,128.866092556204,98.0621130053194
0,0,87,138.68395615213
