"Time","WW","WR","RR"
0,250,0,0
2,252.959248858539,0,0
3,255.622572831225,0,0
4,258.019564406642,0,0
5,260.176856824517,0,0
6,262.118420000604,0,0
7,263.865826859083,0,0
8,265.438493031714,0,0
9,266.853892587082,0,0
10,268.127752186913,0,0
11,269.274225826761,0,0
12,270.306052102624,0,0
13,271.234695750901,0,0
14,272.031296668613,0,0
15,272.674166622055,0,0
16,273.147672542702,0,0
17,273.441260170161,0,0
18,273.548604675824,0,0
19,273.466875025541,0,0
20,274.211006498353,0,0
21,274.994461771954,0,0
22,275.802201628911,0,0
23,276.622108593758,0,0
24,277.444555080508,0,0
25,278.262022457312,0,0
26,279.068929704918,0,0
27,279.861554632448,0,0
28,280.635344709866,0,0
29,281.387964205689,0,0
30,282.119094647713,0,0
31,282.830266732541,0,0
32,283.516338303039,0,0
33,284.167606144626,0,0
34,284.771274216086,0,0
35,285.312502839475,0,0
36,285.775185678669,0,0
37,286.142532506266,0,0
38,284.743641968157,0,0
39,282.008201377103,0,0
40,278.299918999546,0,0
41,273.924347360389,0,0
42,269.136039468978,0,0
43,264.145004444031,0,0
44,259.122518086218,0,0
45,254.206341918865,0,0
46,249.505033337958,0,0
47,245.102211158766,0,0
48,241.060350480779,0,0
49,237.424168677541,0,0
50,234.227720306159,0,0
51,231.497839178537,0,0
52,229.25580608157,0,0
53,226.301246588489,0,0
54,222.904819624501,0,0
55,219.294525507305,0,0
56,215.578902798121,0,0
57,211.845668793784,0,0
58,208.163874184433,0,0
59,204.587007119677,0,0
60,201.156101807893,0,0
61,197.902466360946,0,0
62,194.84990399779,0,0
63,192.016427080592,0,0
64,189.415757341367,0,0
65,187.061513114115,0,0
66,184.968868210285,0,0
67,183.154887240434,0,0
68,180.80368978609,0,0
69,178.100361781599,0,0
70,175.208826392599,0,0
71,172.213326790101,0,0
72,169.188309483696,0,0
73,166.19921311578,0,0
74,163.299057081384,0,0
75,160.530144840039,0,0
76,157.925569749489,0,0
77,155.510527924938,0,0
78,153.303451225245,0,0
79,151.317189779602,0,0
80,149.561993039116,0,0
81,148.047012216172,0,0
82,146.781016138128,0,0
83,145.076758483983,0,0
84,143.082552143131,0,0
85,140.928205561524,0,0
86,138.68395615213,0,0
87,136.410686178655,0,0
88,134.16119627209,0,0
89,131.978102227585,0,0
90,129.895557682186,0,0
91,127.940836211079,0,0
92,126.135417104059,0,0
93,124.495890078217,0,0
94,123.034843972102,0,0
95,121.763140654774,0,0
96,120.691021883133,0,0
97,119.828584805512,0,0
98,118.579519963661,0,0
99,117.071796292397,0,0
100,115.417732872794,0,0
101,113.67841253719,0,0
102,111.907080403068,0,0
103,110.150064617046,0,0
104,108.445226442079,0,0
105,106.823263831824,0,0
106,105.308942036805,0,0
107,103.921956773772,0,0
108,102.677678377351,0,0
109,101.587930599628,0,0
110,100.662912584435,0,0
111,99.9122012634776,0,0
112,99.3452429472901,0,0
113,98.4299741662471,0,0
114,97.279052489544,0,0
115,95.9915725293497,0,0
116,94.6213252138353,0,0
117,93.2154151749582,0,0
118,91.815084408668,0,0
119,90.4542935952424,0,0
120,89.1608423130325,0,0
121,87.9574206677191,0,0
122,86.8623618283259,0,0
123,85.8902837425462,0,0
124,85.0527619837779,0,0
125,84.3599497096548,0,0
126,83.8214426413369,0,0
127,83.4467216048646,0,0
128,82.7575507174767,0,0
129,81.8540837366796,0,0
130,80.8246168388483,0,0
131,79.7167852868581,0,0
132,78.5724800733052,0,0
133,77.4285853941284,0,0
134,76.3156452499272,0,0
135,75.2588364261417,0,0
136,74.2788896412523,0,0
137,73.3927451965012,0,0
138,72.6141135206949,0,0
139,71.9540704257395,0,0
140,71.4224442774528,0,0
141,71.0285821240576,0,0
142,70.7817643902903,0,0
143,70.2512874751906,0,0
144,69.5263039673587,0,0
145,68.6855988748676,0,0
146,67.771432172854,0,0
147,66.821115136933,0,0
148,65.8676815885223,0,0
149,64.9386281177103,0,0
150,64.0567657375017,0,0
151,63.2410323802748,0,0
152,62.5070664918478,0,0
153,61.8676981624997,0,0
154,61.3334769152374,0,0
155,60.9138582484237,0,0
156,60.6178791186963,0,0
157,60.4545423321528,0,0
158,60.036160995294,0,0
159,59.4420183674894,0,0
160,58.7423239849171,0,0
161,57.9745716582557,0,0
162,57.1719683052912,0,0
163,56.3640501410669,0,0
164,55.5755106281361,0,0
165,54.8269485857707,0,0
166,54.135588033935,0,0
167,53.5157827731761,0,0
168,52.9794496761998,0,0
169,52.5365386782668,0,0
170,52.19604732215,0,0
171,51.9666159425895,0,0
172,51.8568828630747,0,0
173,51.5187760175008,0,0
174,51.022607777756,0,0
175,50.4307592629983,0,0
176,49.7764474304425,0,0
177,49.0891641025909,0,0
178,48.3952421672139,0,0
179,47.7167843979071,0,0
180,47.0723198867394,0,0
181,46.4774410220897,0,0
182,45.9452480951802,0,0
183,45.4867325123162,0,0
184,45.1111953382016,0,0
185,44.8271120297661,0,0
186,44.6426552160643,0,0
187,44.5660212853287,0,0
188,44.2859772213817,0,0
189,43.8646116388626,0,0
190,43.3570962677783,0,0
191,42.7927702369899,0,0
192,42.1977294219243,0,0
193,41.5953460694379,0,0
194,41.0053075200771,0,0
195,40.4441908190467,0,0
196,39.9260247160619,0,0
197,39.4626817214407,0,0
198,39.0642175286651,0,0
199,38.7392432096318,0,0
200,38.4956587513353,0,0
201,38.3411101032374,0,0
202,38.2832874694816,0,0
203,38.0455107182011,0,0
204,37.6822795131051,0,0
205,37.2420843245603,0,0
206,36.7507152261271,0,0
207,36.2311384284173,0,0
208,35.7039709618919,0,0
209,35.1866342210206,0,0
210,34.6938546907879,0,0
211,34.2381572310022,0,0
212,33.8302102402449,0,0
213,33.4791260342498,0,0
214,33.1927906556955,0,0
215,32.9784819686636,0,0
216,32.8432667535005,0,0
217,32.7942710472135,0,0
218,32.587435977315,0,0
219,32.2702205972901,0,0
220,31.8848923771317,0,0
221,31.453967479659,0,0
222,30.9975081850217,0,0
223,30.5335533935283,0,0
224,30.0773882387438,0,0
225,29.641977613146,0,0
226,29.2383959638282,0,0
227,28.8761299777042,0,0
228,28.5633435349366,0,0
229,28.3071682567494,0,0
230,28.1142196909119,0,0
231,27.990939457288,0,0
232,27.9438378849853,0,0
233,27.7597999616007,0,0
234,27.4797290639065,0,0
235,27.1400774623734,0,0
236,26.7603225931113,0,0
237,26.3578185289757,0,0
238,25.9481824862951,0,0
239,25.5446788374679,0,0
240,25.1585911616964,0,0
241,24.7995930474549,0,0
242,24.4760117490549,0,0
243,24.19506045906,0,0
244,23.9630920854831,0,0
245,23.7860253732518,0,0
246,23.66963653858,0,0
247,23.619774427728,0,0
248,23.452751128607,0,0
249,23.203356413558,0,0
250,22.9026022511377,0,0
251,22.5671345684197,0,0
252,22.2117745584212,0,0
253,21.8498610824762,0,0
254,21.4927449227267,0,0
255,21.1501043857071,0,0
256,20.8302611098183,0,0
257,20.540407431106,0,0
258,20.2868080539113,0,0
259,20.0750190831203,0,0
260,19.9102346413746,0,0
261,19.7975320134427,0,0
262,19.7420595592758,0,0
263,19.7492256342402,0,0
264,19.8248940502385,0,0
265,19.9755919943383,0,0
266,20.184044894017,0,0
267,20.4373087195153,0,0
268,20.7263143041227,0,0
269,21.0438367159337,0,0
270,21.3842788178164,0,0
271,21.7435265195111,0,0
272,22.1187242977563,0,0
273,22.5080905799581,0,0
274,22.9108259936347,0,0
275,23.327021085879,0,0
276,23.7575642939813,0,0
277,24.2040615828123,0,0
278,24.6688315606077,0,0
279,25.1549471295274,0,0
280,25.66630602927,0,0
281,26.2077290292487,0,0
282,26.7850869296817,0,0
283,27.4054601448325,0,0
284,28.0722552207855,0,0
285,28.7863460040591,0,0
286,29.5470464667015,0,0
287,30.3525892356246,0,0
288,31.2005181026671,0,0
289,32.0880140012118,0,0
290,33.0121410570872,0,0
291,33.9700263505543,0,0
292,34.9590105440074,0,0
293,35.9767678988273,0,0
294,37.0213949075565,0,0
295,38.0914703711876,0,0
296,39.1861152748747,0,0
297,40.3050684599711,0,0
298,41.4487859925871,0,0
299,42.6185698315188,0,0
300,43.8167301605372,0,0
301,45.0467856351389,0,0
302,46.3125562508507,0,0
303,47.6175996104749,0,0
304,48.9649167113012,0,0
305,50.3567882433464,0,0
306,51.7947082796331,0,0
307,53.2793899937532,0,0
308,54.8108174407044,0,0
309,56.3883228912623,0,0
310,58.0106827477431,0,0
311,59.6762240079644,0,0
312,61.3829327257541,0,0
313,63.1285566730704,0,0
314,64.9107044389417,0,0
315,66.7269479339264,0,0
316,68.5749366772012,0,0
317,70.4525325495225,0,0
318,72.3579733725368,0,0
319,74.2900731682763,0,0
320,76.2482188107868,0,0
321,78.2322616091774,0,0
322,80.2423723902388,0,0
323,82.2788896663425,0,0
324,84.3421793883466,0,0
325,86.432517012908,0,0
326,88.5499958656056,0,0
327,90.6944610870515,0,0
328,92.8654679156643,0,0
329,95.0622619216778,0,0
330,97.2837773884789,0,0
331,99.5286487745534,0,0
332,101.795231860903,0,0
333,104.081633811171,0,0
334,106.385753868866,0,0
335,108.705338511588,0,0
336,111.038056479379,0,0
337,113.381600233737,0,0
338,115.733774933857,0,0
339,118.092559734347,0,0
340,120.4561403294,0,0
341,122.82291641301,0,0
342,125.191489789946,0,0
343,127.560639350775,0,0
344,129.929288473463,0,0
345,132.296469160487,0,0
346,134.661286297078,0,0
347,137.02288452477,0,0
348,139.380419220644,0,0
349,141.733031950828,0,0
350,144.079830190113,0,0
351,146.419871162897,0,0
352,148.752150212802,0,0
353,151.075594975016,0,0
354,153.38906765206,0,0
355,155.691378767212,0,0
356,157.981309494323,0,0
357,160.257637982731,0,0
358,162.519165712962,0,0
359,164.764741030508,0,0
360,166.993278160403,0,0
361,169.203770998549,0,0
362,171.395301697805,0,0
363,173.56704449426,0,0
364,175.718265480199,0,0
365,177.84831915988,0,0
