"Time","WWWW","WWWR","WWWB","WWRR","WWRB","WWBB","WHWW","WHWR","WHWB","WHRR","WHRB","WHBB","HHWW","HHWR","HHWB","HHRR","HHRB","HHBB"
0,250,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,252.959248858539,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,255.622572831225,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,258.019564406642,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,260.176856824517,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,262.118420000604,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,263.865826859083,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,265.438493031714,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,266.853892587082,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,268.127752186913,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,269.274225826761,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,270.306052102624,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,271.234695750901,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,272.031296668613,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,272.674166622055,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,273.147672542702,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,273.441260170161,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,273.548604675824,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,273.466875025541,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,274.211006498353,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,274.994461771954,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,275.802201628911,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,276.622108593758,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,277.444555080508,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,278.262022457312,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,279.068929704918,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,279.861554632448,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,280.635344709866,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,281.387964205689,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,282.119094647713,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,282.830266732541,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,283.516338303039,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,284.167606144626,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34,284.771274216086,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,285.312502839475,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36,285.775185678669,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37,286.142532506266,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38,284.743641968157,0,0,0,0,0,0,0,1.76112168438264,0,0,0,0,0,0,0,0,0
39,282.008201377103,0,0,0,0,0,0,0,4.85393582268906,0,0,0,0,0,0,0,0,0
40,278.299918999546,0,0,0,0,0,0,0,8.91509272358352,0,0,0,0,0,0,0,0,0
41,273.924347360389,0,0,0,0,0,0,0,13.6393353231909,0,0,0,0,0,0,0,0,0
42,269.136039468978,0,0,0,0,0,0,0,18.7722965905617,0,0,0,0,0,0,0,0,0
43,264.145004444031,0,0,0,0,0,0,0,24.1040503884382,0,0,0,0,0,0,0,0,0
44,259.122518086218,0,0,0,0,0,0,0,29.4633757136156,0,0,0,0,0,0,0,0,0
45,254.206341918865,0,0,0,0,0,0,0,34.7126738703149,0,0,0,0,0,0,0,0,0
46,249.505033337958,0,0,0,0,0,0,0,39.7432923186029,0,0,0,0,0,0,0,0,0
47,245.102211158766,0,0,0,0,0,0,0,44.471603115507,0,0,0,0,0,0,0,0,0
48,241.060350480779,0,0,0,0,0,0,0,48.8355163278875,0,0,0,0,0,0,0,0,0
49,237.424168677541,0,0,0,0,0,0,0,52.7913775983298,0,0,0,0,0,0,0,0,0
50,234.223829607951,0,0,0,0,0,0,0,56.311326029064,0,0,0,0,0,0,0,0,0
51,231.477361071575,0,0,0,0,0,0,0,59.3808293784397,0,0,0,0,0,0,0,0,0
52,229.192568019817,0,0,0,0,0,0,0,61.9964029333592,0,0,0,0,0,0,0,0,0
53,226.156983293561,0,0,0,0,0,0,0,65.3751442274051,0,0,0,0,0,0,0,0,0
54,222.627235621982,0,0,0,0,0,0,0,69.2648078290323,0,0,0,0,0,0,0,0,0
55,218.817075537135,0,0,0,0,0,0,0,73.455235731734,0,0,0,0,0,0,0,0,0
56,214.818302040722,0,0.00388526265345543,0,0,0,0,0,77.6819384607453,0,0,0,0,0,0,0,0,0
