"Time","WWWW","WWWR","WWWB","WWRR","WWRB","WWBB","WHWW","WHWR","WHWB","WHRR","WHRB","WHBB","HHWW","HHWR","HHWB","HHRR","HHRB","HHBB"
0,250,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,252.959248858539,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,255.622572831225,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,258.019564406642,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,260.176856824517,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,262.118420000604,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,263.865826859083,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,265.438493031714,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,266.853892587082,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,268.127752186913,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,269.274225826761,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,270.306052102624,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,271.234695750901,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,272.031296668613,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,272.674166622055,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,273.147672542702,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,273.441260170161,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,273.548604675824,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,273.466875025541,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,274.211006498353,0,0,0,0,0,0,0,0,0,0,0,400,0,0,0,0,0
21,274.994461771954,0,0,0,0,0,0,0,0,0,0,0,360,0,0,0,0,0
22,275.802201628911,0,0,0,0,0,0,0,0,0,0,0,324,0,0,0,0,0
23,276.622108593758,0,0,0,0,0,0,0,0,0,0,0,291.6,0,0,0,0,0
24,277.444555080508,0,0,0,0,0,0,0,0,0,0,0,262.44,0,0,0,0,0
25,278.262022457312,0,0,0,0,0,0,0,0,0,0,0,236.196,0,0,0,0,0
26,279.068929704918,0,0,0,0,0,0,0,0,0,0,0,212.5764,0,0,0,0,0
27,279.861554632449,0,0,0,0,0,0,0,0,0,0,0,191.31876,0,0,0,0,0
28,280.635344709866,0,0,0,0,0,0,0,0,0,0,0,172.186884,0,0,0,0,0
29,281.387964205689,0,0,0,0,0,0,0,0,0,0,0,154.9681956,0,0,0,0,0
30,282.119094647713,0,0,0,0,0,0,0,0,0,0,0,139.47137604,0,0,0,0,0
31,282.830266732541,0,0,0,0,0,0,0,0,0,0,0,125.524238436,0,0,0,0,0
32,283.516338303039,0,0,0,0,0,0,0,0,0,0,0,112.9718145924,0,0,0,0,0
33,284.167606144626,0,0,0,0,0,0,0,0,0,0,0,101.67463313316,0,0,0,0,0
34,284.771274216086,0,0,0,0,0,0,0,0,0,0,0,91.507169819844,0,0,0,0,0
35,285.312502839475,0,0,0,0,0,0,0,0,0,0,0,482.35645283786,0,0,0,0,0
36,285.775185678669,0,0,0,0,0,0,0,0,0,0,0,434.120807554074,0,0,0,0,0
37,286.142532506266,0,0,0,0,0,0,0,0,0,0,0,390.708726798666,0,0,0,0,0
38,284.743641968158,0,0,0,0,0,0,0,1.76112168438264,0,0,0,351.6378541188,0,0,0,0,0
39,282.008201377104,0,0,0,0,0,0,0,4.85393582268905,0,0,0,316.47406870692,0,0,0,0,0
40,278.299918999546,0,0,0,0,0,0,0,8.91509272358352,0,0,0,284.826661836228,0,0,0,0,0
41,273.924347360389,0,0,0,0,0,0,0,13.6393353231909,0,0,0,256.343995652605,0,0,0,0,0
42,269.136039468977,0,0,0,0,0,0,0,18.7722965905617,0,0,0,230.709596087344,0,0,0,0,0
43,264.145004444032,0,0,0,0,0,0,0,24.1040503884383,0,0,0,207.63863647861,0,0,0,0,0
44,259.122518086218,0,0,0,0,0,0,0,29.4633757136156,0,0,0,186.874772830749,0,0,0,0,0
45,254.206341918866,0,0,0,0,0,0,0,34.7126738703149,0,0,0,168.187295547674,0,0,0,0,0
46,249.505033337958,0,0,0,0,0,0,0,39.743292318603,0,0,0,151.368565992907,0,0,0,0,0
47,245.102211158765,0,0,0,0,0,0,0,44.4716031155071,0,0,0,136.231709393616,0,0,0,0,0
48,241.060350480779,0,0,0,0,0,0,0,48.8355163278876,0,0,0,122.608538454254,0,0,0,0,0
49,237.424168677541,0,0,0,0,0,0,0,52.7913775983297,0,0,0,110.347684608829,0,0,0,0,0
50,234.223829607951,0,0,0,0,0,0,0,56.311326029064,0,0,0,499.312916147946,0,0,0,0,0
51,231.477361071574,0,0,0,0,0,0,0,59.3808293784397,0,0,0,449.381624533152,0,0,0,0,0
52,229.192568019817,0,0,0,0,0,0,0,61.9964029333592,0,0,0,404.443462079836,0,0,0,0,0
53,226.156983293561,0,0,0,0,0,0,0,65.3751442274051,0,0,0,363.999115871853,0,0,0,0,0
