"Time","WW","WR","RR"
0,250,0,0
2,252.959248858539,0,0
3,255.622572831225,0,0
4,258.019564406642,0,0
5,260.176856824517,0,0
6,262.118420000604,0,0
7,263.865826859083,0,0
8,265.438493031714,0,0
9,266.853892587082,0,0
10,268.127752186913,0,0
11,269.274225826761,0,0
12,270.306052102624,0,0
13,271.234695750901,0,0
14,272.031296668613,0,0
15,272.674166622055,0,0
16,273.147672542702,0,0
17,273.441260170161,0,0
18,273.548604675824,0,0
19,273.466875025541,0,0
20,274.211006498353,0,0
21,274.994461771954,0,0
22,275.802201628911,0,0
23,276.622108593758,0,0
24,277.444555080508,0,0
25,278.262022457312,0,0
26,279.068929704918,0,0
27,279.861554632449,0,0
28,280.635344709866,0,0
29,281.387964205689,0,0
30,282.119094647713,0,0
31,282.830266732541,0,0
32,283.516338303039,0,0
33,284.167606144626,0,0
34,284.771274216086,0,0
35,285.312502839475,0,0
36,285.775185678669,0,0
37,286.142532506266,0,0
38,286.50476365254,0,0
39,286.862137199793,0,0
40,287.21501172313,0,0
41,287.56368268358,0,0
42,287.908336059539,0,0
43,288.24905483247,0,0
44,288.585893799833,0,0
45,288.919015789181,0,0
46,289.248325656561,0,0
47,289.573814274272,0,0
48,289.895866808667,0,0
49,290.215546275871,0,0
50,290.533554972389,0,0
51,290.849612263556,0,0
52,291.162081061009,0,0
53,291.467746204957,0,0
54,291.761690535063,0,0
55,292.037234323791,0,0
56,292.296946889436,0,0
57,292.542729630156,0,0
58,292.776064575008,0,0
59,292.998155559041,0,0
60,293.210010846745,0,0
61,293.412492293877,0,0
62,293.606353617688,0,0
63,293.792285099913,0,0
64,293.970892831508,0,0
65,294.142729143038,0,0
66,294.308366511992,0,0
67,294.46851047478,0,0
68,294.623971223833,0,0
69,294.775561669966,0,0
70,294.923957617056,0,0
71,295.069538803933,0,0
72,295.212221165032,0,0
73,295.351285805951,0,0
74,295.486327243932,0,0
75,295.617128211525,0,0
76,295.743587870775,0,0
77,295.865679494474,0,0
78,294.258263378443,0,0
79,291.345117304492,0,0
80,287.483195536816,0,0
81,282.971354326486,0,0
82,278.057984058399,0,0
83,272.947693964764,0,0
84,267.807177378314,0,0
85,262.770369703867,0,0
86,257.942982200298,0,0
87,253.406486210685,0,0
88,249.221613193108,0,0
89,245.431427008597,0,0
90,242.068961049075,0,0
91,239.160962990347,0,0
92,236.729809886012,0,0
93,233.585153181625,0,0
94,229.999006786906,0,0
95,226.202262555756,0,0
96,222.304800300856,0,0
97,218.395789947124,0,0
98,214.545621991572,0,0
99,210.808883888653,0,0
100,207.227401567597,0,0
101,203.832940589754,0,0
102,200.649425144423,0,0
103,197.694662033285,0,0
104,194.981885542287,0,0
105,192.523978430702,0,0
106,190.335145679776,0,0
107,188.431241946867,0,0
108,185.985211095649,0,0
109,183.18395601318,0,0
110,180.192627370259,0,0
111,177.096867429322,0,0
112,173.972145537102,0,0
113,170.884701977259,0,0
114,167.888149824883,0,0
115,165.025246446444,0,0
116,162.329445741817,0,0
117,159.826241324572,0,0
118,157.53431766696,0,0
119,155.466737472888,0,0
120,153.633961794728,0,0
121,152.04535328617,0,0
122,150.709877261694,0,0
123,148.930879264616,0,0
124,146.85903898727,0,0
125,144.626157434953,0,0
126,142.303759573451,0,0
127,139.953760208753,0,0
128,137.629733314564,0,0
129,135.374878139294,0,0
130,133.223761214464,0,0
131,131.203922320947,0,0
132,129.336981442231,0,0
133,127.639564342105,0,0
134,126.124211314594,0,0
135,124.801703537145,0,0
136,123.682194787821,0,0
137,122.775696857753,0,0
138,121.477578591531,0,0
139,119.917740212036,0,0
140,118.210149957797,0,0
141,116.416895996243,0,0
142,114.59205739784,0,0
143,112.782638956618,0,0
144,111.027031154142,0,0
145,109.356336118032,0,0
146,107.795615155094,0,0
147,106.364769407962,0,0
148,105.07929781312,0,0
149,103.951087547421,0,0
150,102.990373006384,0,0
151,102.206752477846,0,0
152,101.609682482959,0,0
153,100.659912478911,0,0
154,99.4717787279967,0,0
155,98.1458131780457,0,0
156,96.7366507185147,0,0
157,95.2921001189389,0,0
158,93.8539786388164,0,0
159,92.4566933300406,0,0
160,91.128380736206,0,0
161,89.8919755663473,0,0
162,88.7659777899628,0,0
163,87.7651067111278,0,0
164,86.9009848824492,0,0
165,86.1837906862053,0,0
166,85.6231374145811,0,0
167,85.2285199443615,0,0
168,84.5154211434192,0,0
169,83.5854573791137,0,0
170,82.5281869661666,0,0
171,81.391968772298,0,0
172,80.2193071941059,0,0
173,79.0475982043905,0,0
174,77.9077898561031,0,0
175,76.8253712699163,0,0
176,75.8213078015636,0,0
177,74.9127079214315,0,0
178,74.1133931856278,0,0
179,73.4345023842021,0,0
180,72.8859057629193,0,0
181,72.4769831379508,0,0
182,72.2170423918758,0,0
183,71.6697272986484,0,0
184,70.9254934152819,0,0
185,70.064254383007,0,0
186,69.1289047089063,0,0
187,68.1572987190097,0,0
188,67.1829293035232,0,0
189,66.2336587251643,0,0
190,65.3325842479538,0,0
191,64.4988630291883,0,0
192,63.748295248245,0,0
193,63.093823234473,0,0
194,62.5460670422292,0,0
195,62.1145342644642,0,0
196,61.8083061665992,0,0
197,61.6364257326084,0,0
198,61.2060474464651,0,0
199,60.5976317931527,0,0
200,59.8824131002485,0,0
201,59.0984502138179,0,0
202,58.2794385206142,0,0
203,57.455332640364,0,0
204,56.6511627491503,0,0
205,55.887794866662,0,0
206,55.1826616323565,0,0
207,54.5502749603921,0,0
208,54.0026660861108,0,0
209,53.5498623781983,0,0
210,53.2009220253148,0,0
211,52.9645387815474,0,0
212,52.8494007782906,0,0
213,52.5026640281428,0,0
214,51.9957150061263,0,0
215,51.391874126134,0,0
216,50.7248676922747,0,0
217,50.0246316759796,0,0
218,49.3178839148696,0,0
219,48.6270397724922,0,0
220,47.9708794059727,0,0
221,47.3651945910655,0,0
222,46.8232403550324,0,0
223,46.3561240478049,0,0
224,45.9732299861875,0,0
225,45.6831017647722,0,0
226,45.4939736679968,0,0
227,45.4141008012383,0,0
228,45.1277942133296,0,0
229,44.6981302888081,0,0
230,44.181148365568,0,0
231,43.6066514233572,0,0
232,43.0011428748192,0,0
233,42.3883518821376,0,0
234,41.7882580342846,0,0
235,41.2176756888455,0,0
236,40.6908249466945,0,0
237,40.2197299173338,0,0
238,39.8145633121339,0,0
239,39.4840241778576,0,0
240,39.2360868663335,0,0
241,39.0784659375507,0,0
242,39.0189179559085,0,0
243,38.7765701659045,0,0
244,38.4068361544247,0,0
245,37.9590124598271,0,0
246,37.4593153006891,0,0
247,36.9310877192299,0,0
248,36.3952798051551,0,0
249,35.8695878014936,0,0
250,35.3689636473015,0,0
251,34.9061165187029,0,0
252,34.4918635703312,0,0
253,34.1354349592345,0,0
254,33.84480874916,0,0
255,33.6273426079868,0,0
256,33.4901780846998,0,0
257,33.4405144174858,0,0
258,33.2303248320447,0,0
259,32.9079178969841,0,0
260,32.5163131868562,0,0
261,32.0784211788631,0,0
262,31.6146547085849,0,0
263,31.1433649577251,0,0
264,30.6800966446017,0,0
265,30.2380295920907,0,0
266,29.8284161745291,0,0
267,29.4608890893456,0,0
268,29.1437305580392,0,0
269,28.8841676177347,0,0
270,28.6889003252411,0,0
271,28.5644504954027,0,0
272,28.5174077765102,0,0
273,28.3308875575119,0,0
274,28.0465850707957,0,0
275,27.7016560399668,0,0
276,27.3159446739484,0,0
277,26.9071325187496,0,0
278,26.4911304471436,0,0
279,26.0814485997553,0,0
280,25.6895758076381,0,0
281,25.3253575175829,0,0
282,24.9972641489099,0,0
283,24.7126273119711,0,0
284,24.4778980475393,0,0
285,24.299083569104,0,0
286,24.18204496319,0,0
287,24.1327157591556,0,0
288,23.9638218180439,0,0
289,23.7108913561074,0,0
290,23.4055943024209,0,0
291,23.0649186909052,0,0
292,22.7039921510113,0,0
293,22.3364298138057,0,0
294,21.9738151363364,0,0
295,21.6260222807569,0,0
296,21.30153856598,0,0
297,21.0076962235741,0,0
298,20.7508777848755,0,0
299,20.5367393427538,0,0
300,20.3705665320503,0,0
301,20.2575252564181,0,0
302,20.2028529809684,0,0
303,20.2120509342233,0,0
304,20.2910828037027,0,0
305,20.4465858887205,0,0
306,20.6609095416638,0,0
307,20.9208348652927,0,0
308,21.2171046676772,0,0
309,21.5423455892554,0,0
310,21.8908464051214,0,0
311,22.2584094070644,0,0
312,22.6421201310981,0,0
313,23.0401579334515,0,0
314,23.4517019564346,0,0
315,23.8768362507686,0,0
316,24.3164549220155,0,0
317,24.7721790704495,0,0
318,25.2463516765097,0,0
319,25.7420802848545,0,0
320,26.2633090937829,0,0
321,26.8149190612764,0,0
322,27.4028571041934,0,0
323,28.034298138959,0,0
324,28.7126783571607,0,0
325,29.4388608419805,0,0
326,30.2121273531951,0,0
327,31.0306652398394,0,0
328,31.891966183727,0,0
329,32.7931567713647,0,0
330,33.731247388476,0,0
331,34.7033134759661,0,0
332,35.7066472699336,0,0
333,36.7388784213139,0,0
334,37.798062638689,0,0
335,38.8827412068499,0,0
336,39.9920005369038,0,0
337,41.1255480910805,0,0
338,42.2838126476962,0,0
339,43.4680744949244,0,0
340,44.6806298559011,0,0
341,45.9249937128191,0,0
342,47.2049826054338,0,0
343,48.5241462363889,0,0
344,49.88547215708,0,0
345,51.2912222572591,0,0
346,52.7428673557151,0,0
347,54.2410941292592,0,0
348,55.7858580780779,0,0
349,57.3764618055161,0,0
350,59.0116516824533,0,0
351,60.6897248420836,0,0
352,62.4086378957512,0,0
353,64.1661095133874,0,0
354,65.959719239252,0,0
355,67.7870096960522,0,0
356,69.6456007111744,0,0
357,71.5333241626189,0,0
358,73.4483879736087,0,0
359,75.3895771367288,0,0
360,77.3562503599861,0,0
361,79.3482316088279,0,0
362,81.3656654178191,0,0
363,83.4088655357799,0,0
364,85.4781753181984,0,0
365,87.5738504908307,0,0
366,89.6959681600476,0,0
367,91.8443612685218,0,0
368,94.0185772106417,0,0
369,96.2178582048336,0,0
370,98.441139607743,0,0
371,100.68706109222,0,0
372,102.953987310926,0,0
373,105.24003731475,0,0
374,107.543124503382,0,0
375,109.861010980392,0,0
376,112.191381773887,0,0
377,114.53194551069,0,0
378,116.880522738932,0,0
379,119.235106793877,0,0
380,121.59389617197,0,0
381,123.955302074778,0,0
382,126.317936816195,0,0
383,128.680589246021,0,0
384,131.042192685951,0,0
385,133.401789623731,0,0
386,135.758496498807,0,0
387,138.111471033879,0,0
388,140.459883574478,0,0
389,142.802892786247,0,0
390,145.139625492226,0,0
391,147.469160503841,0,0
392,149.790516856227,0,0
393,152.102647727065,0,0
394,154.404442343325,0,0
395,156.694739250628,0,0
396,158.972348090774,0,0
397,161.236075367404,0,0
398,163.484750290156,0,0
399,165.717247884406,0,0
400,167.932507692089,0,0
401,170.129547366513,0,0
402,172.307471173753,0,0
403,174.465473832196,0,0
404,176.602840378262,0,0
405,178.71894287401,0,0
406,180.813234762826,0,0
407,182.885243518545,0,0
408,184.93456203096,0,0
409,186.960839034309,0,0
410,188.963768878906,0,0
411,190.943081095286,0,0
412,192.898530503767,0,0
413,194.829889064048,0,0
414,196.736940220573,0,0
415,198.619475913004,0,0
416,200.477295992476,0,0
417,202.310209539326,0,0
418,204.118037487791,0,0
419,205.900615983632,0,0
420,207.657799984314,0,0
421,209.389466716937,0,0
