"Time","WW","WR","RR"
0,250,0,0
2,252.95924885854,0,0
3,255.622572831225,0,0
4,258.019564406642,0,0
5,260.176856824517,0,0
6,262.118420000604,0,0
7,263.865826859083,0,0
8,265.438493031715,0,0
9,266.853892587082,0,0
10,268.127752186914,0,0
11,269.274225826761,0,0
12,270.306052102624,0,0
13,271.234695750901,0,0
14,272.031296668614,0,0
15,272.674166622055,0,0
16,273.147672542702,0,0
17,273.44126017016,0,0
18,273.548604675824,0,0
19,273.466875025541,0,0
20,272.840092529886,0,0
21,271.260029070689,0,0
22,269.02037485525,0,0
23,266.359156557303,0,0
24,263.467575719535,0,0
25,260.497478708393,0,0
26,257.567825792289,0,0
27,254.770249025586,0,0
28,252.171708478998,0,0
29,248.971131151,0,0
30,245.40229593985,0,0
31,241.65740577485,0,0
32,237.891573287427,0,0
33,234.229897248441,0,0
34,230.772155324686,0,0
35,227.596313539959,0,0
36,224.761400907834,0,0
37,222.309975956057,0,0
38,220.239778420742,0,0
39,217.78508454147,0,0
40,215.08468492512,0,0
41,212.25563503808,0,0
42,209.397459878764,0,0
43,206.595195754394,0,0
44,203.921659316328,0,0
45,201.439186876492,0,0
46,199.200909460983,0,0
47,197.185847002847,0,0
48,195.378243677978,0,0
49,193.201288421878,0,0
50,190.778238747217,0,0
51,188.215637949276,0,0
52,185.606879950448,0,0
53,183.034582243962,0,0
54,180.572223112126,0,0
55,178.285465554856,0,0
56,176.230785416205,0,0
57,174.396882637029,0,0
58,172.774235128182,0,0
59,170.847003303255,0,0
60,168.725514758291,0,0
61,166.504330817443,0,0
62,164.265470029586,0,0
63,162.080786680946,0,0
64,160.013812045282,0,0
65,158.116496536751,0,0
66,156.430980442661,0,0
67,154.94560230001,0,0
68,153.650139366319,0,0
69,152.073653453608,0,0
70,150.314552947624,0,0
71,148.457276619911,0,0
72,146.575386469399,0,0
73,144.733918800547,0,0
74,142.991078628799,0,0
75,141.39517240124,0,0
76,139.986041251034,0,0
77,138.754304323333,0,0
78,137.69221193028,0,0
79,136.36421405193,0,0
80,134.862323260447,0,0
81,133.265919950467,0,0
82,131.644486925906,0,0
83,130.059372757595,0,0
84,128.565143131505,0,0
85,127.207206104992,0,0
86,126.023079736026,0,0
87,125.004275908854,0,0
88,124.143802332868,0,0
89,123.031092000649,0,0
90,121.752460896945,0,0
91,120.382376444867,0,0
92,118.98602698595,0,0
93,117.621006444233,0,0
94,116.338616478754,0,0
95,115.181645084645,0,0
96,114.185586322063,0,0
97,113.34236829429,0,0
98,112.645496469542,0,0
99,111.70664914062,0,0
100,110.60727988114,0,0
101,109.417843420898,0,0
102,108.200168447961,0,0
103,107.009038195996,0,0
104,105.893411190976,0,0
105,104.894279540215,0,0
106,104.045812246902,0,0
107,103.340349404743,0,0
108,102.771877921582,0,0
109,101.971432610378,0,0
110,101.016199789526,0,0
