"Time","WWWWWWWW","WWWWWWWR","WWWWWWWB","WWWWWWRR","WWWWWWRB","WWWWWWBB","WWWWWHWW","WWWWWHWR","WWWWWHWB","WWWWWHRR","WWWWWHRB","WWWWWHBB","WWWWHHWW","WWWWHHWR","WWWWHHWB","WWWWHHRR","WWWWHHRB","WWWWHHBB","WWWRWWWW","WWWRWWWR","WWWRWWWB","WWWRWWRR","WWWRWWRB","WWWRWWBB","WWWRWHWW","WWWRWHWR","WWWRWHWB","WWWRWHRR","WWWRWHRB","WWWRWHBB","WWWRHHWW","WWWRHHWR","WWWRHHWB","WWWRHHRR","WWWRHHRB","WWWRHHBB","WWWBWWWW","WWWBWWWR","WWWBWWWB","WWWBWWRR","WWWBWWRB","WWWBWWBB","WWWBWHWW","WWWBWHWR","WWWBWHWB","WWWBWHRR","WWWBWHRB","WWWBWHBB","WWWBHHWW","WWWBHHWR","WWWBHHWB","WWWBHHRR","WWWBHHRB","WWWBHHBB","WWRRWWWW","WWRRWWWR","WWRRWWWB","WWRRWWRR","WWRRWWRB","WWRRWWBB","WWRRWHWW","WWRRWHWR","WWRRWHWB","WWRRWHRR","WWRRWHRB","WWRRWHBB","WWRRHHWW","WWRRHHWR","WWRRHHWB","WWRRHHRR","WWRRHHRB","WWRRHHBB","WWRBWWWW","WWRBWWWR","WWRBWWWB","WWRBWWRR","WWRBWWRB","WWRBWWBB","WWRBWHWW","WWRBWHWR","WWRBWHWB","WWRBWHRR","WWRBWHRB","WWRBWHBB","WWRBHHWW","WWRBHHWR","WWRBHHWB","WWRBHHRR","WWRBHHRB","WWRBHHBB","WWBBWWWW","WWBBWWWR","WWBBWWWB","WWBBWWRR","WWBBWWRB","WWBBWWBB","WWBBWHWW","WWBBWHWR","WWBBWHWB","WWBBWHRR","WWBBWHRB","WWBBWHBB","WWBBHHWW","WWBBHHWR","WWBBHHWB","WWBBHHRR","WWBBHHRB","WWBBHHBB","WHWWWWWW","WHWWWWWR","WHWWWWWB","WHWWWWRR","WHWWWWRB","WHWWWWBB","WHWWWHWW","WHWWWHWR","WHWWWHWB","WHWWWHRR","WHWWWHRB","WHWWWHBB","WHWWHHWW","WHWWHHWR","WHWWHHWB","WHWWHHRR","WHWWHHRB","WHWWHHBB","WHWRWWWW","WHWRWWWR","WHWRWWWB","WHWRWWRR","WHWRWWRB","WHWRWWBB","WHWRWHWW","WHWRWHWR","WHWRWHWB","WHWRWHRR","WHWRWHRB","WHWRWHBB","WHWRHHWW","WHWRHHWR","WHWRHHWB","WHWRHHRR","WHWRHHRB","WHWRHHBB","WHWBWWWW","WHWBWWWR","WHWBWWWB","WHWBWWRR","WHWBWWRB","WHWBWWBB","WHWBWHWW","WHWBWHWR","WHWBWHWB","WHWBWHRR","WHWBWHRB","WHWBWHBB","WHWBHHWW","WHWBHHWR","WHWBHHWB","WHWBHHRR","WHWBHHRB","WHWBHHBB","WHRRWWWW","WHRRWWWR","WHRRWWWB","WHRRWWRR","WHRRWWRB","WHRRWWBB","WHRRWHWW","WHRRWHWR","WHRRWHWB","WHRRWHRR","WHRRWHRB","WHRRWHBB","WHRRHHWW","WHRRHHWR","WHRRHHWB","WHRRHHRR","WHRRHHRB","WHRRHHBB","WHRBWWWW","WHRBWWWR","WHRBWWWB","WHRBWWRR","WHRBWWRB","WHRBWWBB","WHRBWHWW","WHRBWHWR","WHRBWHWB","WHRBWHRR","WHRBWHRB","WHRBWHBB","WHRBHHWW","WHRBHHWR","WHRBHHWB","WHRBHHRR","WHRBHHRB","WHRBHHBB","WHBBWWWW","WHBBWWWR","WHBBWWWB","WHBBWWRR","WHBBWWRB","WHBBWWBB","WHBBWHWW","WHBBWHWR","WHBBWHWB","WHBBWHRR","WHBBWHRB","WHBBWHBB","WHBBHHWW","WHBBHHWR","WHBBHHWB","WHBBHHRR","WHBBHHRB","WHBBHHBB","HHWWWWWW","HHWWWWWR","HHWWWWWB","HHWWWWRR","HHWWWWRB","HHWWWWBB","HHWWWHWW","HHWWWHWR","HHWWWHWB","HHWWWHRR","HHWWWHRB","HHWWWHBB","HHWWHHWW","HHWWHHWR","HHWWHHWB","HHWWHHRR","HHWWHHRB","HHWWHHBB","HHWRWWWW","HHWRWWWR","HHWRWWWB","HHWRWWRR","HHWRWWRB","HHWRWWBB","HHWRWHWW","HHWRWHWR","HHWRWHWB","HHWRWHRR","HHWRWHRB","HHWRWHBB","HHWRHHWW","HHWRHHWR","HHWRHHWB","HHWRHHRR","HHWRHHRB","HHWRHHBB","HHWBWWWW","HHWBWWWR","HHWBWWWB","HHWBWWRR","HHWBWWRB","HHWBWWBB","HHWBWHWW","HHWBWHWR","HHWBWHWB","HHWBWHRR","HHWBWHRB","HHWBWHBB","HHWBHHWW","HHWBHHWR","HHWBHHWB","HHWBHHRR","HHWBHHRB","HHWBHHBB","HHRRWWWW","HHRRWWWR","HHRRWWWB","HHRRWWRR","HHRRWWRB","HHRRWWBB","HHRRWHWW","HHRRWHWR","HHRRWHWB","HHRRWHRR","HHRRWHRB","HHRRWHBB","HHRRHHWW","HHRRHHWR","HHRRHHWB","HHRRHHRR","HHRRHHRB","HHRRHHBB","HHRBWWWW","HHRBWWWR","HHRBWWWB","HHRBWWRR","HHRBWWRB","HHRBWWBB","HHRBWHWW","HHRBWHWR","HHRBWHWB","HHRBWHRR","HHRBWHRB","HHRBWHBB","HHRBHHWW","HHRBHHWR","HHRBHHWB","HHRBHHRR","HHRBHHRB","HHRBHHBB","HHBBWWWW","HHBBWWWR","HHBBWWWB","HHBBWWRR","HHBBWWRB","HHBBWWBB","HHBBWHWW","HHBBWHWR","HHBBWHWB","HHBBWHRR","HHBBWHRB","HHBBWHBB","HHBBHHWW","HHBBHHWR","HHBBHHWB","HHBBHHRR","HHBBHHRB","HHBBHHBB"
0,250,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,252.959248858539,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,255.622572831225,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,258.019564406642,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,260.176856824517,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,262.118420000604,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,263.865826859083,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,265.438493031714,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,266.853892587082,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,268.127752186913,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
