"Time","WWWW","WWWR","WWWB","WWRR","WWRB","WWBB","WHWW","WHWR","WHWB","WHRR","WHRB","WHBB","HHWW","HHWR","HHWB","HHRR","HHRB","HHBB"
0,250,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,252.959248858539,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,255.622572831225,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,258.019564406642,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,260.176856824517,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,262.118420000604,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,263.865826859083,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,265.438493031714,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,266.853892587082,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,268.127752186913,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,269.274225826761,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,270.306052102624,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,271.234695750901,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,272.031296668613,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,272.674166622055,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,273.147672542702,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,273.441260170161,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,273.548604675824,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,273.466875025541,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,274.211006498353,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,274.994461771954,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,275.802201628911,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,276.622108593758,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,277.444555080508,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,278.262022457312,0,0,0,0,0,0,0,0,0,0,0,200,0,0,0,0,0
26,279.068929704918,0,0,0,0,0,0,0,0,0,0,0,180,0,0,0,0,0
27,279.861554632449,0,0,0,0,0,0,0,0,0,0,0,162,0,0,0,0,0
28,280.635344709866,0,0,0,0,0,0,0,0,0,0,0,145.8,0,0,0,0,0
29,281.387964205689,0,0,0,0,0,0,0,0,0,0,0,131.22,0,0,0,0,0
30,282.119094647713,0,0,0,0,0,0,0,0,0,0,0,118.098,0,0,0,0,0
31,282.830266732541,0,0,0,0,0,0,0,0,0,0,0,106.2882,0,0,0,0,0
32,283.516338303039,0,0,0,0,0,0,0,0,0,0,0,95.65938,0,0,0,0,0
33,284.167606144626,0,0,0,0,0,0,0,0,0,0,0,86.093442,0,0,0,0,0
34,284.771274216086,0,0,0,0,0,0,0,0,0,0,0,77.4840978,0,0,0,0,0
35,285.312502839475,0,0,0,0,0,0,0,0,0,0,0,269.73568802,0,0,0,0,0
36,285.775185678669,0,0,0,0,0,0,0,0,0,0,0,242.762119218,0,0,0,0,0
37,286.142532506266,0,0,0,0,0,0,0,0,0,0,0,218.4859072962,0,0,0,0,0
38,286.50476365254,0,0,0,0,0,0,0,0,0,0,0,196.63731656658,0,0,0,0,0
39,286.862137199793,0,0,0,0,0,0,0,0,0,0,0,176.973584909922,0,0,0,0,0
40,287.21501172313,0,0,0,0,0,0,0,0,0,0,0,159.27622641893,0,0,0,0,0
41,287.56368268358,0,0,0,0,0,0,0,0,0,0,0,143.348603777037,0,0,0,0,0
42,287.908336059539,0,0,0,0,0,0,0,0,0,0,0,129.013743399333,0,0,0,0,0
43,286.998619511376,0,0,0,0,0,0,0,2.50087064218861,0,0,0,116.1123690594,0,0,0,0,0
44,285.164019920429,0,0,0,0,0,0,0,6.84374775880807,0,0,0,104.50113215346,0,0,0,0,0
45,282.678692851705,0,0,0,0,0,0,0,12.4806458749513,0,0,0,294.051018938114,0,0,0,0,0
46,279.768560733317,0,0,0,0,0,0,0,18.9595298464882,0,0,0,264.645917044303,0,0,0,0,0
47,276.618116067966,0,0,0,0,0,0,0,25.9113964126133,0,0,0,238.181325339872,0,0,0,0,0
48,273.376441912223,0,0,0,0,0,0,0,33.0388497928875,0,0,0,214.363192805885,0,0,0,0,0
49,270.162545191398,0,0,0,0,0,0,0,40.1060021689455,0,0,0,192.926873525297,0,0,0,0,0
50,267.069061971424,0,0,0,0,0,0,0,46.9289860019301,0,0,0,173.634186172767,0,0,0,0,0
51,264.165694050264,0,0,0,0,0,0,0,53.3678364265849,0,0,0,156.27076755549,0,0,0,0,0
52,261.502329371418,0,0,0,0,0,0,0,59.3195033791828,0,0,0,140.643690799941,0,0,0,0,0
53,258.24536766447,0,0,0,0,0,0,0,66.4447570809732,0,0,0,126.579321719947,0,0,0,0,0
54,254.619619861763,0,0,0,0,0,0,0,74.2841413466,0,0,0,113.921389547952,0,0,0,0,0
