"Time","WWWW","WWWR","WWWB","WWRR","WWRB","WWBB","WHWW","WHWR","WHWB","WHRR","WHRB","WHBB","HHWW","HHWR","HHWB","HHRR","HHRB","HHBB"
0,250,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,252.95924885854,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,255.622572831225,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,258.019564406642,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,260.176856824517,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,262.118420000604,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,263.865826859083,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,265.438493031715,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,266.853892587082,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,268.127752186914,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,269.274225826761,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,270.306052102624,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,271.234695750901,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,272.031296668614,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,272.674166622055,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,273.147672542702,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,273.44126017016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,273.548604675824,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,273.466875025541,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,272.840092529886,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,271.260029070689,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,269.02037485525,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,266.359156557303,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,263.467575719535,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,260.497478708393,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,257.567825792289,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,254.770249025586,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,252.171708478998,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,248.971131151,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,245.40229593985,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,241.65740577485,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,237.891573287427,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,234.229897248441,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34,230.772155324686,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,227.596313539959,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36,224.761400907835,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37,222.309975956057,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38,220.227256757244,0,0.0102925798931399,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39,217.744839267566,0,0.0366247042243112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,214.988742377148,0,0.0911624944233033,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41,212.062172770053,0,0.186482051612944,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42,209.050667410359,0,0.334639498307093,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43,206.025828047892,0,0.546559519465475,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44,203.048092701229,0,0.8316554268868,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45,200.168830545755,0,1.19761541121349,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
46,197.43187703341,0,1.65029127174017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47,194.811823830497,0,2.19120828724604,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48,192.287185174135,0,2.82309030060534,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49,189.400768500476,0,3.47382306419908,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50,186.255665009428,0,4.15667015623621,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
51,182.940070458819,0,4.88328348736528,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
52,179.53085491582,0,5.66367850977682,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
53,176.095918080859,0,6.50626312136009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
54,172.695805001719,0,7.41790018779716,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
55,169.384988650067,0,8.40400296201042,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
56,166.210592364865,0,9.46830659381032,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
57,163.166074535035,0,10.6025217650489,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
58,160.244787208696,0,11.8008369499827,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
59,157.122360831199,0,12.943067476036,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60,153.875956629293,0,14.0498602973535,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
61,150.570314404982,0,15.1394465309989,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62,147.260404592672,0,16.2279722043549,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
63,143.993284422538,0,17.3297804820335,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
64,140.809601176724,0,18.4576895106964,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
65,137.741719990517,0,19.6217031200667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
66,134.815079869464,0,20.8294325458727,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
67,132.022178202998,0,22.0740858998636,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
68,129.355095962835,0,23.3511457431771,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
69,126.567186223512,0,24.5190121308388,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
70,123.713202538541,0,25.6063243215499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
71,120.838725028977,0,26.6382868007908,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72,117.982263842731,0,27.6372873787997,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
73,115.176686099729,0,28.6233610261613,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
74,112.45043230733,0,29.614603391809,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
75,109.826150356135,0,30.625708921596,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
76,107.321677306191,0,31.6684398784968,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
77,104.931316673414,0,32.7380658489993,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
78,102.649270083669,0,33.831650961465,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
79,100.286718599461,0,34.7929534751777,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80,97.8857969438473,0,35.6560225196468,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
81,95.481748696355,0,36.450643717236,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
82,93.1044047363578,0,37.2030893770901,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
83,90.778949558703,0,37.9364561244616,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
84,88.5267960036612,0,38.6711153281662,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
85,86.3649116606705,0,39.4236079804955,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
86,84.3065508030105,0,40.2071755400073,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
