"Time","WWWW","WWWR","WWWB","WWRR","WWRB","WWBB","WHWW","WHWR","WHWB","WHRR","WHRB","WHBB","HHWW","HHWR","HHWB","HHRR","HHRB","HHBB"
0,250,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,252.959248858539,0,0,0,0,0,0,0,0,0,0,0,200,0,0,0,0,0
3,255.622572831225,0,0,0,0,0,0,0,0,0,0,0,180,0,0,0,0,0
4,258.019564406642,0,0,0,0,0,0,0,0,0,0,0,162,0,0,0,0,0
5,260.176856824517,0,0,0,0,0,0,0,0,0,0,0,145.8,0,0,0,0,0
6,262.118420000604,0,0,0,0,0,0,0,0,0,0,0,131.22,0,0,0,0,0
7,263.865826859083,0,0,0,0,0,0,0,0,0,0,0,118.098,0,0,0,0,0
8,265.438493031714,0,0,0,0,0,0,0,0,0,0,0,106.2882,0,0,0,0,0
9,266.853892587082,0,0,0,0,0,0,0,0,0,0,0,95.65938,0,0,0,0,0
10,268.127752186913,0,0,0,0,0,0,0,0,0,0,0,86.093442,0,0,0,0,0
11,269.274225826761,0,0,0,0,0,0,0,0,0,0,0,277.4840978,0,0,0,0,0
12,270.306052102624,0,0,0,0,0,0,0,0,0,0,0,249.73568802,0,0,0,0,0
13,271.234695750901,0,0,0,0,0,0,0,0,0,0,0,224.762119218,0,0,0,0,0
14,272.031296668613,0,0,0,0,0,0,0,0,0,0,0,202.2859072962,0,0,0,0,0
15,272.674166622055,0,0,0,0,0,0,0,0,0,0,0,182.05731656658,0,0,0,0,0
16,273.147672542702,0,0,0,0,0,0,0,0,0,0,0,163.851584909922,0,0,0,0,0
17,273.441260170161,0,0,0,0,0,0,0,0,0,0,0,147.46642641893,0,0,0,0,0
18,273.548604675824,0,0,0,0,0,0,0,0,0,0,0,132.719783777037,0,0,0,0,0
19,273.466875025541,0,0,0,0,0,0,0,0,0,0,0,119.447805399333,0,0,0,0,0
20,272.840092529886,0,0,0,0,0,0,0,2.7418279369346,0,0,0,107.5030248594,0,0,0,0,0
21,271.260029070689,0,0,0,0,0,0,0,7.46886540253024,0,0,0,296.75272237346,0,0,0,0,0
22,269.02037485525,0,0,0,0,0,0,0,13.5636535473213,0,0,0,267.077450136114,0,0,0,0,0
